N;M;K;P;p_osat1;p_osat2;p_osat3;p_osat4;p_osat5;p_anticlust1;p_anticlust2;p_anticlust3;p_anticlust4;p_anticlust5;p_anticlust_c1;p_anticlust_c2;p_anticlust_c3;p_anticlust_c4;p_anticlust_c5;p_ps1;p_ps2;p_ps3;p_ps4;p_ps5;OSAT_t;ANTICLUST_t;ANTICLUST_t_c;PS_t;diversity_unconstrained;diversity_constrained
476;3;4;5;0.995324500007056;0.986237156479129;0.997600880206068;NA;NA;0.99999999999808;0.999999999990935;0.999999999488272;NA;NA;0.99999999999808;0.999999994778372;0.999999999488272;NA;NA;0.999672259037207;0.986194172749552;0.952189571360871;NA;NA;2.74864935874939;0.282788991928101;0.284650802612305;47.9342157840729;60948.4302720082;60929.3378366453
400;5;4;4;0.998317042406523;0.365425766858647;0.196691462617642;0.657070216215908;0.719642414475874;0.999999997605426;0.999999996548577;0.999999941167358;0.999999942028067;0.999999997522914;0.999999900051908;0.999999996548577;0.999999499132012;0.999999942028067;0.999999997522914;0.964726175863;0.684730353322806;0.919026297164499;0.969379560374505;0.992874925867046;3.13172554969788;0.150148630142212;0.168081760406494;53.1578023433685;53984.1334550569;53971.3601173836
500;5;10;3;0.996891050342137;0.793348007484331;0.981009690035942;0.195792726363983;0.895391421053519;0.999999999998857;0.999999999998924;0.999999999999997;0.999999999999998;0.999999999999387;0.999999999998857;0.999999999998924;0.999999999999997;0.999999999999863;0.999999999999387;NA;NA;NA;NA;NA;2.9031240940094;0.134681463241577;0.250052213668823;NA;31550.3827145374;31535.1113078371
360;5;10;3;0.99996312401854;0.89763208837266;0.945968848290267;0.841044592920438;0.450440047799427;0.999999999993981;0.999999999985486;0.999999999999952;0.999999999999951;0.99999999999707;0.999999999480122;0.999999999985486;0.999999999997663;0.999999999996834;0.999999999773723;NA;NA;NA;NA;NA;2.75785732269287;0.0492260456085205;0.105422019958496;NA;16244.9513566331;16227.6803910688
410;2;10;4;0.999999999998875;0.999999999986553;NA;NA;NA;1;0.999999999999999;NA;NA;NA;1;0.999999999999999;NA;NA;NA;NA;NA;NA;NA;NA;2.48939800262451;0.0717663764953613;0.131988525390625;NA;13862.5473247308;13860.8904704813
276;4;4;3;0.890921098079344;0.988894481006094;0.964213888728766;0.687050838512859;NA;0.999973787646217;0.999973061795447;0.999972912915788;1;NA;0.999973787646217;0.99987647715388;0.999972912915788;1;NA;0.933730778349688;0.993020990569586;0.995772807558686;0.869585141816278;NA;2.43980574607849;0.0533089637756348;0.0814950466156006;35.7184457778931;21388.571025708;21379.1499423146
380;5;10;5;0.999999999999988;0.733444830879986;0.47947159753711;0.97763176896112;0.638914558386187;1;1;1;1;1;0.999999999999987;1;1;0.999999999999998;1;NA;NA;NA;NA;NA;4.75198698043823;0.054715633392334;0.107893466949463;NA;20018.0857726662;20002.9144040441
230;4;10;2;0.999283059985867;0.997859764330915;0.999796204602366;0.999251310728532;NA;0.999992168549754;1;0.999983338092971;0.999991797310491;NA;0.999992168549754;0.999993623618409;0.999983338092971;0.999991797310491;NA;NA;NA;NA;NA;NA;2.27374744415283;0.0118284225463867;0.0479891300201416;NA;4975.26816590786;4972.17195342022
500;4;10;3;0.990912284714419;0.999974800369539;0.999512861244609;0.976393238608372;NA;0.999999999999387;0.999999999991323;0.999999999999997;0.999999999999996;NA;0.999999999999387;0.999999999999391;0.999999999999997;0.999999999999996;NA;NA;NA;NA;NA;NA;2.60352849960327;0.130824089050293;0.223732948303223;NA;28106.8103302086;28087.7209139122
110;4;2;4;0.978030721560745;0.884821565567213;0.555300691575067;0.601101031688124;NA;0.994944625112927;0.994944625112927;0.995145565713319;0.994786304928865;NA;0.994944625112927;0.994944625112927;0.995145565713319;0.994786304928865;NA;0.873421203746615;0.994944625112927;0.928535166531009;0.994786304928865;NA;2.40281200408936;0.00447893142700195;0.0144205093383789;17.2088820934296;7238.50981830308;7235.73855036086
360;4;4;5;0.999943270235663;0.426374558926833;0.91074691553425;0.943578062133884;NA;0.99999999984272;0.999999998913203;0.999999998645908;0.999999999618013;NA;0.99999999984272;0.999999998913203;0.999999998645908;0.999999940458735;NA;0.969673401758453;0.94148988789495;0.98484899406302;0.886803445375393;NA;2.71288681030273;0.107263088226318;0.152520895004272;52.3118693828583;40397.4439583954;40389.9728584945
170;5;2;2;1;1;0.644262443509584;1;0.877676114307336;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2.23177027702332;0.0181660652160645;0.0296690464019775;14.6830058097839;15412.0517078951;15410.7146009391
140;4;10;3;0.994966635726601;0.761017148047911;0.986408907797901;0.190302574504308;NA;0.999999990832017;0.999999954746623;0.999999996438195;0.999999960734367;NA;0.999999784235003;0.999996381755972;0.999999996438195;0.999999503701582;NA;NA;NA;NA;NA;NA;2.58505988121033;0.00307989120483398;0.0211999416351318;NA;2144.09904936719;2138.63393567454
106;4;2;5;1;0.601875255167533;0.683721920410156;0.940005853592858;NA;1;0.995517892050658;0.998503720425481;0.998763412367223;NA;1;0.995517892050658;0.991942582441077;0.998763412367223;NA;0.953552036794489;0.918450833075171;0.940839065522073;0.687296016905623;NA;2.46195220947266;0.00434708595275879;0.0230016708374023;18.9439132213593;6929.05226740872;6925.71444513606
432;2;4;5;0.999998286266579;0.999999384804372;NA;NA;NA;0.999999999882205;0.999999999108698;NA;NA;NA;0.999999999882205;0.999999999108698;NA;NA;NA;0.975749038549949;0.999689232757001;NA;NA;NA;2.4545955657959;0.231712102890015;0.1859450340271;38.8786642551422;40307.7489040558;40306.9204769311
72;5;2;5;1;0.188681955158782;0.184449119966336;0.806932759578309;0.125944857574168;0.899524203248715;0.997544484684061;0.991579285791808;0.997333542374362;0.996275871283811;0.974876710984684;0.885202866032505;0.898153050075312;0.987687472026516;0.938873157097088;0.800052736074172;0.949470159271749;0.67964338330779;0.968482377635788;0.98564920894888;3.85511207580566;0.00158953666687012;0.0092315673828125;21.4282522201538;3552.00498782557;3547.93579771161
252;3;4;5;0.995328575615739;0.981226455559713;0.962265255710225;NA;NA;0.999999952460649;0.999999992535509;0.999999980355593;NA;NA;0.999999952460649;0.999999992535509;0.999999980355593;NA;NA;0.996499221599039;0.695161692869897;0.985195381248964;NA;NA;2.41494154930115;0.038738489151001;0.061112642288208;37.390946149826;17013.5728732928;17002.1644250196
88;2;2;4;0.99042819614428;0.96702634641923;NA;NA;NA;0.99042819614428;0.992402682857008;NA;NA;NA;0.99042819614428;0.964284192089589;NA;NA;NA;0.99042819614428;0.992402682857008;NA;NA;NA;2.12391662597656;0.00269031524658203;0.0102741718292236;12.1939594745636;3168.96168696999;3167.54747340761
54;2;2;3;0.826207694527628;1;NA;NA;NA;1;1;NA;NA;NA;1;1;NA;NA;NA;1;1;NA;NA;NA;2.15626335144043;0.00110983848571777;0.00686454772949219;10.662291765213;1067.57777721091;1065.09249583667
350;2;10;2;0.999997723173703;0.999986788194518;NA;NA;NA;0.999997723173703;0.999999622737441;NA;NA;NA;0.999997723173703;0.999999622737441;NA;NA;NA;NA;NA;NA;NA;NA;2.36914277076721;0.0430824756622314;0.101778507232666;NA;7370.66507373693;7370.66507373693
454;3;2;4;0.993477862095176;0.915876002820143;0.959227120890062;NA;NA;0.999333389203574;0.999290003542909;0.999280906740606;NA;NA;0.999333389203574;0.999290003542909;0.999280906740606;NA;NA;0.967829454672144;0.968114436309038;0.988792495790275;NA;NA;2.64905023574829;0.371783256530762;0.321450710296631;21.7025759220123;106681.727244296;106679.105666227
324;5;4;3;0.794189052156698;0.722615117249533;0.606356075063583;0.867055143621375;0.284942910592794;0.999997171759163;0.99998425057299;0.999984199539135;0.999996667013505;1;0.999947241108532;0.99998425057299;0.999915989702389;0.999996667013505;1;0.985479557079695;0.842012675673176;0.945338203543894;0.830232350024357;0.940475595328797;2.6106972694397;0.0878822803497314;0.092318058013916;40.8984937667847;33192.9033554159;33168.431760456
378;2;2;5;0.991062401550189;0.997930197717691;NA;NA;NA;0.999915944246882;0.999889089833597;NA;NA;NA;0.999915944246882;0.999889089833597;NA;NA;NA;0.997750590982649;0.979399768797458;NA;NA;NA;2.40994691848755;0.184191465377808;0.149416923522949;18.2011001110077;61688.5960108733;61688.5960108733
244;5;4;2;0.941397588305665;0.997118442808541;0.987810872364199;0.995557405420064;0.941397588305665;1;0.997118442808541;1;0.995557405420064;1;1;0.997118442808541;1;0.995557405420064;1;0.820536389032871;0.901697331073539;0.91317397995629;0.954082581550734;0.941397588305665;2.33782935142517;0.0349411964416504;0.0604219436645508;30.8100407123566;15950.5308531079;15947.9178549372
408;5;2;3;0.817515335734945;0.915539604194891;0.694432638244661;0.907510721818686;0.675729921246281;1;1;1;0.992779437094215;1;1;1;1;0.992779437094215;1;0.915399062027475;1;0.914164656764936;0.857114509009425;0.817515335734945;2.84564661979675;0.255958318710327;0.210618495941162;23.0825884342194;105555.02748307;105549.582011722
250;2;10;4;0.999999999614616;0.999999999918488;NA;NA;NA;0.999999999999999;0.999999999999998;NA;NA;NA;0.999999999999939;0.999999999999998;NA;NA;NA;NA;NA;NA;NA;NA;2.31818222999573;0.0153207778930664;0.0577421188354492;NA;5147.37503398058;5144.30396616872
420;2;10;3;0.999999999828273;0.999999999762184;NA;NA;NA;0.999999999998357;0.999999999999932;NA;NA;NA;0.999999999998357;0.999999999999932;NA;NA;NA;NA;NA;NA;NA;NA;2.41647958755493;0.0727174282073975;0.122647047042847;NA;13355.2907576313;13355.2907576313
160;3;10;4;0.999904826200009;0.348484827600915;0.998746873469973;NA;NA;0.99999999999842;0.999999999998694;0.999999999996756;NA;NA;0.999999999569923;0.999999999961803;0.999999999996756;NA;NA;NA;NA;NA;NA;NA;2.28039503097534;0.0048067569732666;0.0239338874816895;NA;2594.22598575464;2588.64167203045
150;2;10;2;0.999950389076705;0.999948062044496;NA;NA;NA;0.999950389076705;0.999948062044496;NA;NA;NA;0.999950389076705;0.999948062044496;NA;NA;NA;NA;NA;NA;NA;NA;2.17060995101929;0.0040900707244873;0.0194346904754639;NA;1345.13116780419;1345.13116780419
396;2;2;4;0.991425110147164;0.99923907740523;NA;NA;NA;0.999256061712658;0.99923907740523;NA;NA;NA;0.999256061712658;0.99923907740523;NA;NA;NA;0.988076655238899;0.99923907740523;NA;NA;NA;2.50053024291992;0.262641429901123;0.167665958404541;16.3729248046875;64757.6084144428;64757.6084144428
130;4;10;5;0.999999178092945;0.643461808012796;0.616201327599332;0.807194498603966;NA;0.999999999985273;0.999999999934367;1;0.999999999989932;NA;0.999999984520248;0.999999999934367;0.999999824439757;0.99999999984757;NA;NA;NA;NA;NA;NA;2.60074687004089;0.00294804573059082;0.0177578926086426;NA;2030.93875132411;2023.9713549216
142;3;2;2;1;1;1;NA;NA;1;1;1;NA;NA;1;1;1;NA;NA;1;1;1;NA;NA;2.17930293083191;0.0103151798248291;0.0212595462799072;11.8604655265808;7956.99040877357;7956.99040877357
94;4;2;2;1;0.836532398651375;1;1;NA;1;1;1;1;NA;1;1;1;1;NA;1;1;1;1;NA;2.10906481742859;0.00336146354675293;0.0119082927703857;12.3108870983124;4149.83061834477;4149.83061834477
230;5;10;3;0.99687830657352;0.468379620689443;0.314742132523973;0.355350442772105;0.916959406945189;0.999999999126785;0.999999999992881;0.999999999849937;0.999999998877768;0.999999999310581;0.999999999126785;0.999999999999987;0.999999975694446;0.999999985863563;0.999999944053009;NA;NA;NA;NA;NA;2.5489227771759;0.0117940902709961;0.0442185401916504;NA;6585.19010054058;6577.30648596294
376;3;4;2;0.998487285358656;0.988305702000075;0.982236710107947;NA;NA;0.998487285358656;0.997691457867139;1;NA;NA;0.998487285358656;0.997691457867139;1;NA;NA;0.9455333547335;0.94365618986697;0.968179832251137;NA;NA;2.37470579147339;0.132879495620728;0.126826524734497;29.7082552909851;27978.5265353169;27978.5265353169
120;5;10;2;0.970715433979352;0.789573668477771;0.775829567668526;0.858674790367033;0.684827970550103;0.999767021165466;0.999772400180723;0.999996681857067;0.999871089693203;0.999959665727492;0.997281832261263;0.999772400180723;0.999509996744173;0.998000654830273;0.999959665727492;NA;NA;NA;NA;NA;2.2594780921936;0.00241327285766602;0.0162317752838135;NA;1509.9970656477;1503.34830674381
436;2;4;3;0.999978369689309;0.999935840030856;NA;NA;NA;1;0.999998656612297;NA;NA;NA;1;0.999998656612297;NA;NA;NA;0.998395227691347;0.999935840030856;NA;NA;NA;2.46532917022705;0.19785475730896;0.1781907081604;31.4118225574493;35902.9825202877;35902.9825202877
240;5;10;2;0.998509846755943;0.986501516869495;0.990016601702566;0.976060227142933;0.962177430453114;0.999997983614671;0.999998020256998;0.99998603579073;1;0.999993158959558;0.999932348454466;0.999998020256998;0.99998603579073;0.999994747331574;0.999993158959558;NA;NA;NA;NA;NA;2.33234405517578;0.0135602951049805;0.0508906841278076;NA;6149.78375281589;6135.58859212426
450;2;10;5;0.999999999937501;0.999999999999975;NA;NA;NA;1;1;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;2.48451161384583;0.0902853012084961;0.168458461761475;NA;17489.6844097207;17486.8559825959
170;2;10;2;0.999948709257755;0.999991026890561;NA;NA;NA;0.999948709257755;0.999991026890561;NA;NA;NA;0.999948709257755;0.999991026890561;NA;NA;NA;NA;NA;NA;NA;NA;2.20382285118103;0.00542497634887695;0.032862663269043;NA;1738.23376490863;1738.23376490863
478;5;2;3;0.920393906964738;0.924127799790849;0.731667110953345;0.981011203178629;0.82422556533795;0.993660241187949;1;0.993845939555447;0.993834697622771;1;0.981468244893302;1;0.993845939555447;0.993834697622771;1;0.958510982560676;0.903161996012587;0.820705983949034;0.87885236312725;0.973526595537108;2.79319095611572;0.437419414520264;0.351382732391357;25.5866541862488;144813.814744777;144803.636812985
92;2;4;2;0.987874967779462;0.980853958977649;NA;NA;NA;0.987874967779462;0.980853958977649;NA;NA;NA;0.987874967779462;0.980853958977649;NA;NA;NA;0.987874967779462;0.980853958977649;NA;NA;NA;2.09499740600586;0.00206995010375977;0.0123522281646729;19.1561093330383;1256.70476093299;1256.70476093299
496;4;4;5;0.972649840872462;0.977947242141464;0.984672252909867;0.6654574418662;NA;0.999999999295197;0.999999999803545;0.999999999649187;0.999999999978903;NA;0.999999999295197;0.999999999803545;0.999999999649187;0.999999999978903;NA;0.96349169764839;0.924534714456666;0.995605462999743;0.884610003963238;NA;2.81585884094238;0.313824415206909;0.418981075286865;57.8189525604248;76800.9639190135;76787.1683683302
172;4;4;4;0.998963672026409;0.339386795726011;0.560687139177163;0.991738545254819;NA;0.999997467250123;0.999994327762872;0.999997076754695;0.999998732588739;NA;0.999997467250123;0.999994327762872;0.999979764198392;0.99998523112179;NA;0.817607268853136;0.883319748821686;0.99402909869214;0.997027511494802;NA;2.49426245689392;0.0107705593109131;0.0311102867126465;35.3248598575592;8826.09461257069;8823.05659016767
312;4;2;4;0.831367766502147;0.966400407415498;0.981488185814546;0.850916555212645;NA;0.99875168741749;0.996943722259136;0.998894182459929;0.998950431324055;NA;0.99875168741749;0.996943722259136;0.998894182459929;0.998950431324055;NA;0.953393180641993;0.906754108740794;0.838602434296577;0.961414847842599;NA;2.63712167739868;0.129544734954834;0.132119417190552;20.6844606399536;58602.3785888746;58594.7612297415
50;5;10;3;0.934279846179725;0.869217823208522;0.45698421425201;0.988235141210056;0.602953898211694;0.999774913446264;0.999637413530786;0.999998088054494;0.999637413530786;0.999880817865706;0.965255611464989;0.997357298440493;0.980985888169958;0.992755849762744;0.996089234434106;NA;NA;NA;NA;NA;2.35708475112915;0.000891923904418945;0.00788998603820801;NA;278.774926012059;272.369492213726
496;3;2;3;0.993739994684619;0.982611726356679;0.981825738099987;NA;NA;0.993739994684619;0.993714566248894;0.99402217524728;NA;NA;0.993739994684619;0.993714566248894;0.99402217524728;NA;NA;0.982511414327758;0.982611726356679;0.95773307902437;NA;NA;2.55658674240112;0.63100790977478;0.324470996856689;18.7259585857391;118434.262668624;118434.671558708
220;4;4;3;0.714875009432233;0.982462293348529;0.699496081030357;0.815323388032235;NA;0.999948384010798;0.999987100678482;0.999987100678482;0.999983122607062;NA;0.999948384010798;0.999874648764578;0.999987100678482;0.999884024013377;NA;0.965569506415584;0.997552986001815;0.88412405107595;0.992582650917933;NA;2.3061785697937;0.0247762203216553;0.0442519187927246;38.6286556720734;13553.298806007;13547.1063810317
380;4;10;4;0.999083341039946;0.99775528554362;0.25861992159321;0.856587876241818;NA;1;1;1;1;NA;1;1;0.999999999999977;1;NA;NA;NA;NA;NA;NA;2.74814915657043;0.0532517433166504;0.132179975509644;NA;17275.4982643441;17260.8270898908
124;3;4;4;0.974763802915212;0.388168674171079;0.913000839270296;NA;NA;0.999996679330394;0.999995731851267;0.999999678719717;NA;NA;0.999916394709912;0.999668737034907;0.999999678719717;NA;NA;0.906955471893906;0.98099130832204;0.970061815782334;NA;NA;2.21116542816162;0.0041649341583252;0.0176718235015869;28.5955414772034;3948.14844649348;3939.93190774452
204;2;4;4;0.999488980518061;0.999990930037542;NA;NA;NA;0.999999418671486;0.999999342717706;NA;NA;NA;0.999999418671486;0.999966527023391;NA;NA;NA;0.991704411216213;0.992694639476284;NA;NA;NA;2.296222448349;0.018855094909668;0.036860466003418;26.2971832752228;8580.16009744143;8578.16009744143
484;3;4;2;1;0.998968100942792;0.998400946880282;NA;NA;1;0.998968100942792;0.998400946880282;NA;NA;1;0.998968100942792;0.998400946880282;NA;NA;0.977836056832558;0.921517201201954;0.991854748968431;NA;NA;2.49543714523315;0.284048795700073;0.22125768661499;32.2833831310272;46351.107588975;46351.107588975
404;5;4;4;0.986485387753981;0.721745360517006;0.187533707793471;0.884410448902623;0.8104706705321;0.999999891851857;0.999999939120389;0.999999978754053;0.999998665603757;0.999999889131152;0.999999891851857;0.999999939120389;0.999999978754053;0.999999991935565;0.999999889131152;0.936785028033243;0.890712497913451;0.974611012574574;0.993761711597921;0.86033256863366;3.02818632125854;0.157791614532471;0.221130132675171;52.4223501682281;55031.2822952984;55015.6042002908
496;3;4;5;0.999969527283003;0.996602162262346;0.995850741699587;NA;NA;0.999999999974641;0.999999999228954;0.999999999639285;NA;NA;0.999999999974641;0.999999999228954;0.999999999639285;NA;NA;0.997818288439122;0.878591698500662;0.982957184767855;NA;NA;2.71302008628845;0.311443328857422;0.264862298965454;47.7879388332367;66156.7012018412;66143.8765518412
392;5;4;5;0.999989934031448;0.568602550232478;0.912400748522351;0.684503934551042;0.0948534277483165;0.999999999919505;0.999999999992914;0.999999980366935;0.999999999996256;0.999999998378356;0.999999999919505;0.999999949427502;0.999999998505246;0.999999999996256;0.999999998378356;0.987210213637244;0.919953215156683;0.903362547045484;0.976609952949384;0.900174517081854;4.21772503852844;0.138033866882324;0.173558950424194;60.147100687027;53650.8116958326;53642.2749751358
430;5;10;2;0.999986108704403;0.997491198483439;0.997163027671592;0.999991335969613;0.999581233074592;0.999999018999772;0.999999849453789;0.999999498045954;1;1;0.999999018999772;0.999999849453789;0.999999498045954;1;1;NA;NA;NA;NA;NA;2.54358744621277;0.0820531845092773;0.16399884223938;NA;19791.9263530687;19782.5778154538
300;5;10;5;0.999999999998234;0.607440382314418;0.739506593724408;0.979540999265206;0.41483540666782;1;1;1;1;1;1;0.999999999999924;0.999999999999994;0.999999999999968;0.999999999999998;NA;NA;NA;NA;NA;4.5028874874115;0.021719217300415;0.0717828273773193;NA;12424.9829889832;12416.0961481669
136;4;4;3;0.897727586543066;0.929189835201435;0.904754987039468;0.827103920688187;NA;0.999796127023857;1;0.99979490024161;0.999762065610409;NA;0.999796127023857;0.999125397693398;0.99979490024161;0.999762065610409;NA;0.960762424112444;0.955367542049089;0.921643092692683;0.839819851666354;NA;2.23408937454224;0.00524139404296875;0.0183064937591553;29.1249153614044;5159.61977974051;5151.21192055807
386;3;2;4;0.999284146408737;0.938382504839137;0.989428904700606;NA;NA;0.999284146408737;0.999261548876743;0.997771462439612;NA;NA;0.999284146408737;0.999261548876743;0.997771462439612;NA;NA;0.971972107592788;0.999261548876743;0.976730862641007;NA;NA;2.47759747505188;0.211467027664185;0.152505874633789;19.6454329490662;77158.2953511139;77158.159054419
50;3;10;5;0.996720697025342;0.160286356383438;0.0418865887842037;NA;NA;0.999648222288741;0.99999999993912;0.999999982595397;NA;NA;0.999394172534119;0.990630784891279;0.999983413484063;NA;NA;NA;NA;NA;NA;NA;2.20850038528442;0.000883817672729492;0.00755476951599121;NA;237.757138393787;233.439137319051
128;4;4;3;0.740270390784495;0.933692621473288;0.953433916233435;0.785637077395514;NA;0.999960718963461;0.999753276471641;0.999756499636578;0.999752138217582;NA;0.999041279315499;0.999753276471641;0.999756499636578;0.999752138217582;NA;0.982999203762628;0.947604442654432;0.912333765348101;0.97681581579615;NA;2.20959568023682;0.00493788719177246;0.0174834728240967;29.0590989589691;4569.08979681449;4567.68039127891
400;2;10;4;0.999999999997403;0.999999999838002;NA;NA;NA;0.999999999999999;1;NA;NA;NA;0.999999999999999;1;NA;NA;NA;NA;NA;NA;NA;NA;2.44263029098511;0.0630087852478027;0.133967399597168;NA;13180.0132701213;13178.3564158718
376;4;4;2;0.989684732736561;0.989708685760426;0.998497989815377;0.975466693502701;NA;0.998492908253789;0.998496468348774;0.998497989815377;0.997691457867139;NA;0.998492908253789;0.998496468348774;0.998497989815377;0.997691457867139;NA;0.962289009561199;0.78820386884031;0.945893007716159;0.975466693502701;NA;2.39820790290833;0.120970010757446;0.123229265213013;33.9424457550049;33391.0879565296;33391.0879565296
170;3;10;5;0.999942894449854;0.66625380478712;0.602987492651765;NA;NA;0.999999999999999;1;1;NA;NA;0.999999999899054;0.999999999980085;0.99999999978827;NA;NA;NA;NA;NA;NA;NA;2.36294054985046;0.00536441802978516;0.0268332958221436;NA;3039.74671224984;3029.53120440297
328;3;2;5;0.968595110222614;0.913710615754065;0.987840064577988;NA;NA;0.999885900042548;0.999572242227786;0.999888932313383;NA;NA;0.999885900042548;0.999572242227786;0.999888932313383;NA;NA;0.917699977425782;0.999572242227786;0.905098750997113;NA;NA;2.47935676574707;0.142475366592407;0.242816686630249;20.7215712070465;57865.0754701953;57859.706664318
100;3;10;3;0.999346403322427;0.279083429514955;0.981106653783329;NA;NA;0.999999825598342;0.999999949726393;0.999999825598342;NA;NA;0.999979541935933;0.999990079259304;0.999999825598342;NA;NA;NA;NA;NA;NA;NA;2.24540328979492;0.00189900398254395;0.01961350440979;NA;933.502945413456;927.322198295956
416;2;4;3;0.999898369262511;0.999992368523012;NA;NA;NA;1;0.999992368523012;NA;NA;NA;1;0.999992368523012;NA;NA;NA;0.992100724417793;0.983381282631161;NA;NA;NA;2.360844373703;0.196428775787354;0.157438278198242;30.9205031394958;32776.8938495956;32776.8938495956
390;5;10;3;0.999789461621534;0.063052772269009;0.302718286266217;0.559155079319589;0.395858815779857;0.999999999997084;0.999999999990162;0.999999999999984;0.999999999992795;0.999999999997251;0.999999999997084;0.999999999990162;0.999999999830427;0.999999999992795;0.999999999649965;NA;NA;NA;NA;NA;2.89074492454529;0.0633111000061035;0.122992992401123;NA;19137.264891129;19124.1921915221
