N;M;K;P;p_osat1;p_osat2;p_osat3;p_osat4;p_osat5;p_anticlust1;p_anticlust2;p_anticlust3;p_anticlust4;p_anticlust5;p_anticlust_c1;p_anticlust_c2;p_anticlust_c3;p_anticlust_c4;p_anticlust_c5;p_ps1;p_ps2;p_ps3;p_ps4;p_ps5;p_exper1;p_exper2;p_exper3;p_exper4;p_exper5;OSAT_t;ANTICLUST_t;ANTICLUST_t_c;PS_t;EXPER_t;diversity_unconstrained;diversity_constrained
480;4;4;5;0.996053208776509;0.635726567147888;0.0842780090039316;0.372544079278461;NA;0.999999999997521;0.999999999976713;0.999999997028614;0.999999951508405;NA;0.999999162849782;0.999999999976713;0.999999977328436;0.999999999133463;NA;0.937247471503452;0.901829110399974;0.854570087092317;0.539008786768817;NA;0.537866504915023;0.620501412240921;0.892685860052463;0.879838771613659;NA;0.0930678844451904;0.22860050201416;0.113175630569458;1.16888046264648;0.641388654708862;64105.9289227908;64084.6897651678
380;5;10;5;0.999999999951999;0.841003533172812;0.000736220057188784;0.20357843502598;0.33813001944282;0.999999999999999;1;1;1;1;0.999999999999509;0.999999999999446;0.999999999975737;0.999999999999971;0.999999999999999;NA;NA;NA;NA;NA;0.698689104472642;0.99595448880841;0.34775299169136;0.669517608608911;0.633135163534514;0.327078580856323;0.0456602573394775;0.0554471015930176;NA;1.55211496353149;17761.7571487394;17740.533497825
300;3;2;5;0.976843059558946;0.659234737801686;0.622704578479692;NA;NA;0.997866553243141;0.998968605143485;0.999485398531596;NA;NA;0.997866553243141;0.998968605143485;0.999485398531596;NA;NA;0.898424003836139;0.773874127115481;0.939303512577992;NA;NA;0.93383896335763;0.784611359453981;0.808910970022456;NA;NA;0.0985281467437744;0.0914547443389893;0.0443241596221924;0.391325712203979;0.309756994247437;42833.1821592208;42826.1364329062
438;4;2;2;0.923733019027118;1;1;0.70222508738972;NA;1;1;1;1;NA;1;1;1;1;NA;0.923733019027118;0.848325781614021;0.923802924225713;0.848400803965388;NA;0.388911742594129;0.338933209224507;0.3893479478915;0.70222508738972;NA;0.0587902069091797;0.266485452651978;0.108102560043335;0.327060461044312;0.212081432342529;64070.8173640678;64070.8173640678
490;5;2;3;0.724744843478682;0.993804256859806;0.25983579971443;0.602520173335969;0.906420494168531;1;0.993804256859806;1;1;1;1;0.993804256859806;1;1;1;0.928869078023092;0.661390883101103;0.926531088822837;0.975596284942943;0.840516899204294;0.976041238483481;0.675449173054752;0.518504197861042;0.908113832391413;0.300115914318474;0.0645945072174072;0.403146505355835;0.157000780105591;0.474573373794556;0.288552522659302;124097.697772566;124089.539073912
148;3;4;2;0.807101510189173;0.906621004837366;0.583402124716569;NA;NA;0.990807582678921;0.990481982566015;1;NA;NA;0.990807582678921;0.990481982566015;1;NA;NA;0.909544019357182;0.80143348031693;1;NA;NA;0.95520696633434;0.747899080490916;0.885100362425891;NA;NA;0.0571475028991699;0.00645780563354492;0.0101332664489746;0.46988320350647;0.283963441848755;3042.4245454455;3042.4245454455
52;2;4;2;0.972417193298918;0.957154152741396;NA;NA;NA;0.972417193298918;0.957154152741396;NA;NA;NA;0.972417193298918;0.957154152741396;NA;NA;NA;0.972417193298918;0.957154152741396;NA;NA;NA;0.690672470680804;0.664899032465567;NA;NA;NA;0.080815315246582;0.00133299827575684;0.00403404235839844;0.355007648468018;0.254102945327759;283.965512114594;283.965512114594
140;4;10;4;0.999998501804234;0.891081499087093;0.443450203655082;0.378265509362996;NA;0.999999998553197;0.999999999305805;0.99999999996986;0.999999999997631;NA;0.999987219012182;0.999999965192044;0.99849515358098;0.999998915684249;NA;NA;NA;NA;NA;NA;0.834250703238715;0.898469254752693;0.225477113881097;0.978832525941931;NA;0.0587751865386963;0.0036003589630127;0.00929045677185059;NA;1.11966872215271;1972.03232169205;1961.32192447596
70;3;10;4;0.999426807682192;0.608008171983806;0.153850526601481;NA;NA;0.999999998881359;0.999999987460269;0.99999971646511;NA;NA;0.99948815417355;0.999782724494221;0.99899976557592;NA;NA;NA;NA;NA;NA;NA;0.657750400650843;0.21667729496006;0.998095237185087;NA;NA;0.0532436370849609;0.00123858451843262;0.00433945655822754;NA;0.88948655128479;404.582943275063;398.64748212336
350;3;2;3;0.651872303825106;0.52761401258067;0.975446839341157;NA;NA;0.991546117334613;0.99141064170737;0.991053658468953;NA;NA;0.991546117334613;0.99141064170737;0.991053658468953;NA;NA;0.791121981342807;0.79439019594894;0.899841614468475;NA;NA;0.974302275470808;0.455510015828372;0.733695840328109;NA;NA;0.0616168975830078;0.121055841445923;0.0840885639190674;0.307560443878174;0.223928928375244;47798.4129140782;47798.348418976
220;5;10;4;0.99999998826034;0.0316463403779922;0.771568049962798;0.32320353790153;0.0580038097385646;0.999999999613504;0.999999999980649;0.999999999998799;0.999999999291836;0.999999999999998;0.999998783991969;0.999993708374219;0.999999910629225;0.999999997726823;0.999998653592531;NA;NA;NA;NA;NA;0.642486812664306;0.683884335496211;0.79576661151883;0.442297649536992;0.944568362012631;0.0874478816986084;0.0150208473205566;0.0209994316101074;NA;1.27041792869568;5538.78632887297;5525.97024083568
384;4;4;2;0.773489167685113;0.85143867425256;0.617232634733547;0.589881680305362;NA;0.998543924026184;0.997765657060042;0.99853445014902;1;NA;0.998543924026184;0.997765657060042;0.99853445014902;1;NA;0.998543924026184;0.831433426256001;0.963277099270946;0.982782073009701;NA;0.947439661334134;0.337290058961413;0.0217000137774911;0.663174751285393;NA;0.06805419921875;0.112818717956543;0.101826906204224;0.622484922409058;0.353057384490967;24619.5250230908;24619.2823824037
68;5;4;4;0.993249598412397;0.249674465752994;0.343337223026065;0.500245516264647;0.578334330654899;0.999953252763052;0.999996338830204;0.999231768891869;0.999242520513454;0.999267876828148;0.971831973440466;0.934300309759769;0.984219186815519;0.997456227565757;0.991983813057292;0.960787834900906;0.894399977825771;0.708422231266849;0.551595826409587;0.977080046863253;0.450124613946472;0.658766420577266;0.603774876725594;0.478952797947537;0.885666459398294;0.0746200084686279;0.0011751651763916;0.00341367721557617;0.716859579086304;0.513511180877686;1289.46144594231;1284.69275762507
186;5;2;5;0.999701745499175;0.3161441053304;0.0415954655859773;0.226904946044759;0.506941181520982;0.999701745499175;0.998421254191711;0.989211425068216;0.998499288954314;0.993504989141708;0.948754655921501;0.991584410715897;0.99843336383903;0.998499288954314;0.993504989141708;0.41855519242485;0.747680258004922;0.952535646014309;0.942465038438886;0.967308097987726;0.950101227546984;0.830747707564076;0.660701800561505;0.455074617541395;0.627907091028325;0.118196249008179;0.0197241306304932;0.0309023857116699;0.436256408691406;0.364453077316284;21400.9296714851;21394.2474918483
140;3;10;2;0.983013900429947;0.930811301482821;0.752686253644918;NA;NA;0.999879374595255;0.99999831313563;0.999879374595255;NA;NA;0.999879374595255;0.99999831313563;0.999879374595255;NA;NA;NA;NA;NA;NA;NA;0.575038770351213;0.848905828925291;0.752686253644918;NA;NA;0.0603456497192383;0.00285696983337402;0.00813841819763184;NA;0.650870084762573;1087.80845750022;1087.71208118304
136;2;2;4;0.975210275248363;0.828952120521799;NA;NA;NA;0.997254669941038;0.996024685024765;NA;NA;NA;0.997254669941038;0.996024685024765;NA;NA;NA;0.852822546063215;0.919956573501961;NA;NA;NA;0.599228449759139;0.682220951780604;NA;NA;NA;0.0534043312072754;0.00924801826477051;0.00917243957519531;0.28964638710022;0.213601589202881;6448.53146511917;6448.58135317193
86;3;2;2;0.829202978442692;0.828100420637494;1;NA;NA;1;1;1;NA;NA;1;1;1;NA;NA;1;0.828100420637494;1;NA;NA;0.517520845180823;0.828100420637494;0.388323228978925;NA;NA;0.0550668239593506;0.00218629837036133;0.00426721572875977;0.235196590423584;0.177051782608032;2063.68210512326;2063.68210512326
390;3;10;5;0.999999996243204;0.760428717736748;0.620447146424054;NA;NA;1;1;1;NA;NA;1;0.999999999999501;1;NA;NA;NA;NA;NA;NA;NA;0.927226076888608;0.313167243600513;0.735739741325898;NA;NA;0.066685676574707;0.0577058792114258;0.0878908634185791;NA;1.08375000953674;14311.511360382;14292.6617041688
100;5;10;5;0.999999405353646;0.962094490533087;0.229868980673734;0.19615541603074;0.367025230819349;0.99999616526591;0.999995519563714;0.99999994586554;0.99999999576471;0.999999947766641;0.999986143041425;0.975793767479807;0.999998456396167;0.999999283955961;0.999254280572637;NA;NA;NA;NA;NA;0.527025864693088;0.698114548941884;0.925448749815619;0.711739977185471;0.795933459167424;0.120876789093018;0.00158405303955078;0.00533652305603027;NA;1.5331757068634;1177.9415428862;1168.29548875486
126;4;2;3;0.931050205675815;0.809669372911092;0.846999756977972;0.795964755556152;NA;0.97645849937551;0.976814208140688;0.975294663399695;0.974963156616257;NA;0.931050205675815;0.853367327828093;0.975294663399695;0.974963156616257;NA;0.610565936696835;0.853367327828093;0.743423318786237;0.749157204482394;NA;0.602310523898571;0.316800917166491;0.933799160331156;0.974963156616257;NA;0.0537457466125488;0.00737905502319336;0.00855851173400879;0.327115535736084;0.246474266052246;7250.33497044241;7248.34432299285
402;2;2;5;0.956419091990876;0.925437397733721;NA;NA;NA;0.999914568831657;0.999921916694933;NA;NA;NA;0.999185799461154;0.999921916694933;NA;NA;NA;0.996706341070161;0.998159163427585;NA;NA;NA;0.794889454273056;0.195452255468826;NA;NA;NA;0.089775562286377;0.189690828323364;0.0804474353790283;0.42313289642334;0.421630382537842;62154.8981595454;62153.6268105646
270;2;2;3;0.895920854637001;0.954589036898142;NA;NA;NA;0.987862790525046;1;NA;NA;NA;0.987862790525046;1;NA;NA;NA;0.987862790525046;0.743434689447651;NA;NA;NA;0.333750027699127;0.40177663691023;NA;NA;NA;0.0542268753051758;0.0542190074920654;0.0282759666442871;0.288552522659302;0.216334342956543;22575.3454581926;22575.3454581926
466;5;2;4;0.929207520139606;0.0144159117399605;0.820299356258377;0.674246572363879;0.522516404589649;0.998288473008882;0.999390713126643;0.997078085131658;0.998321293519439;0.999450363357644;0.998288473008882;0.999390713126643;0.999463486809714;0.991503535266516;0.999450363357644;0.670809115776963;0.849774053734201;0.64768567445285;0.819473760286111;0.558057540023797;0.500741133298624;0.549873834583538;0.746852962630613;0.868574299305569;0.497875429918487;0.0813045501708984;0.302760362625122;0.137876987457275;0.523778915405273;0.359191656112671;127061.217495926;127044.684610525
436;3;2;2;0.922962516889889;0.847954709480705;1;NA;NA;1;1;1;NA;NA;1;1;1;NA;NA;1;0.847954709480705;1;NA;NA;0.498457530891798;0.565165405675491;1;NA;NA;0.0653553009033203;0.251567602157593;0.11966347694397;0.296007633209229;0.200306415557861;52980.770332643;52980.770332643
402;2;2;2;1;0.920423203660902;NA;NA;NA;1;1;NA;NA;NA;1;1;NA;NA;NA;0.920493994070386;1;NA;NA;NA;0.272236682745197;0.764404520722609;NA;NA;NA;0.249819755554199;0.17334771156311;0.0792348384857178;0.262607574462891;0.18334436416626;34423.574223911;34423.574223911
464;5;4;3;0.999906814644393;0.75285043572026;0.639990937688489;0.932476379661783;0.812781875558573;0.999970549215456;0.999994492547563;0.99999435759784;0.999965263545752;0.999984293072416;0.999809380789563;0.999965032689574;0.999967077900838;0.999994560694595;0.999998871870799;0.90963769220142;0.805877794545563;0.699949654915207;0.957656181110525;0.943962636231165;0.911609885118239;0.997633314633225;0.979672479138621;0.992896512943633;0.553251062411049;0.0728573799133301;0.205087184906006;0.134003639221191;0.848275661468506;0.485738515853882;55663.26356169;55640.5285790883
460;5;10;4;0.999999972459615;0.486698095071551;0.897522083720892;0.00157990524911293;0.814467879563997;1;1;0.999999999999999;0.999999999999989;1;0.99999999999911;0.999999999999872;0.999999999999765;0.999999999178092;0.999999999997247;NA;NA;NA;NA;NA;0.78372969450846;0.792724405351761;0.836434103320436;0.863747691916304;0.767134864557189;0.0890829563140869;0.0933825969696045;0.118523120880127;NA;1.31921792030334;24462.6812293394;24433.8855787798
352;2;2;5;0.938988135908595;0.738329061643185;NA;NA;NA;0.999862420521188;0.999600005396629;NA;NA;NA;0.999862420521188;0.999600005396629;NA;NA;NA;0.981387195245892;0.904715473273127;NA;NA;NA;0.566494205169341;0.570792842940425;NA;NA;NA;0.0672035217285156;0.111862897872925;0.0781950950622559;0.363160371780396;0.264999866485596;47424.9580471579;47424.9580471579
450;5;10;2;0.983651496741674;0.507810232832927;0.807143866292414;0.682395829154409;0.376422872823039;0.99999999051972;0.999999990502965;0.999999876551138;0.999999875241676;0.999999990502965;0.99999999051972;0.999998290947152;0.999999876551138;0.999999875241676;0.999999990502965;NA;NA;NA;NA;NA;0.456513512573271;0.708872485254953;0.484062777455753;0.60823882850085;0.726961165021761;0.0637927055358887;0.0836169719696045;0.118214845657349;NA;0.739359378814697;15360.2426369022;15349.9366912339
60;4;4;3;0.847367709490595;0.62148365964743;0.0769794835444207;0.627287066663653;NA;0.994474825863895;0.988032113927047;0.986015393289814;0.999493488966784;NA;0.926747829273852;0.988032113927047;0.895283631430796;0.999493488966784;NA;0.751190891290316;0.793904125561519;0.771675172938168;0.694714326037485;NA;0.638342646739078;0.74968821563602;0.930555212533157;0.981415358076641;NA;0.0592973232269287;0.00104260444641113;0.00334453582763672;0.505607843399048;0.356638669967651;804.538973106672;802.254815789121
