N;K;diversity_heuristic;diversity_optimal;time_limit;time_limit_exceeded;time_heuristic;time_optimal;solver
30;2;549.391158212996;549.391158212996;1800;FALSE;1.74;3.14;gurobi
30;2;334.007142674936;334.007142674936;1800;FALSE;1.86;3.61;gurobi
32;2;480.290920159346;480.290920159346;1800;FALSE;1.91;7.94;gurobi
32;2;472.738694581604;472.738694581604;1800;FALSE;1.94;5.15;gurobi
32;2;527.386021515186;527.386021515186;1800;FALSE;1.87;10.14;gurobi
32;2;596.376442288473;596.376442288473;1800;FALSE;1.9;5.33;gurobi
32;2;465.428763207326;465.428763207326;1800;FALSE;1.74;20.75;gurobi
34;2;432.19090885901;432.19090885901;1800;FALSE;1.99;19.74;gurobi
34;2;342.333044482741;342.333044482741;1800;FALSE;1.93;27.68;gurobi
34;2;592.980841505671;592.980841505671;1800;FALSE;2;7.23;gurobi
34;2;745.919392232393;745.919392232393;1800;FALSE;1.77;14.28;gurobi
34;2;533.577768662034;533.577768662034;1800;FALSE;2.15;10.87;gurobi
36;2;506.275811660522;506.275811660522;1800;FALSE;1.88;50.91;gurobi
36;2;837.8243460422;837.8243460422;1800;FALSE;1.96;12.37;gurobi
36;2;785.171338790206;785.171338790206;1800;FALSE;1.98;18.46;gurobi
36;2;866.993864945778;866.993864945778;1800;FALSE;1.99;18.63;gurobi
36;2;797.259510422414;797.259510422414;1800;FALSE;2.09;15.82;gurobi
38;2;615.078210486802;615.078210486802;1800;FALSE;1.96;25.91;gurobi
38;2;875.5038341949;875.5038341949;1800;FALSE;2.12;49.08;gurobi
38;2;941.264966621853;941.264966621853;1800;FALSE;2.08;25.37;gurobi
38;2;676.610909398565;676.610909398565;1800;FALSE;2.26;16.09;gurobi
38;2;836.243091020505;836.243091020505;1800;FALSE;2.1;26.02;gurobi
40;2;966.473568635677;966.473568635677;1800;FALSE;2.07;41.42;gurobi
40;2;1075.85074307934;1075.85074307934;1800;FALSE;2.3;43.27;gurobi
40;2;884.892559987975;884.892559987975;1800;FALSE;2.49;30.88;gurobi
40;2;1083.28526105553;1083.28526105553;1800;FALSE;2.1;78.08;gurobi
40;2;967.407308850608;967.407308850608;1800;FALSE;2.3;52.17;gurobi
42;2;1152.44744673724;1152.44744673724;1800;FALSE;2.09;252.91;gurobi
42;2;818.500714641886;818.63701133673;1800;FALSE;2.13;96.3;gurobi
42;2;895.5578955124;895.5578955124;1800;FALSE;2.09;155.13;gurobi
42;2;1033.524984217;1033.524984217;1800;FALSE;2.35;62.36;gurobi
42;2;646.21529547665;646.21529547665;1800;FALSE;2.34;953.74;gurobi
44;2;982.85126736241;983.028163715505;1800;FALSE;2.42;190.24;gurobi
44;2;760.077820600319;760.077820600319;1800;FALSE;2.43;667.18;gurobi
44;2;1003.12275621031;1003.12275621031;1800;FALSE;2.54;158.93;gurobi
44;2;817.404112294606;817.404112294606;1800;FALSE;2.5;232.93;gurobi
44;2;1270.86695545855;1270.86695545855;1800;FALSE;2.37;231.14;gurobi
46;2;897.688383542068;897.688383542068;1800;FALSE;2.59;722.66;gurobi
46;2;982.72535332817;982.72535332817;1800;FALSE;2.53;403.05;gurobi
46;2;NA;NA;1800;TRUE;2.44;1800.1;gurobi
21;3;132.168237561895;132.168237561895;1800;FALSE;1.56;0.49;gurobi
21;3;152.32102014131;152.32102014131;1800;FALSE;1.66;0.66;gurobi
21;3;84.9116882454314;84.9116882454314;1800;FALSE;1.72;0.96;gurobi
21;3;81.5979797464467;81.5979797464467;1800;FALSE;1.64;0.98;gurobi
21;3;102.426406871193;102.426406871193;1800;FALSE;1.74;0.5;gurobi
24;3;217.631908777981;217.631908777981;1800;FALSE;1.62;0.85;gurobi
24;3;179.808532287119;179.808532287119;1800;FALSE;1.82;0.52;gurobi
24;3;174.076317650009;174.076317650009;1800;FALSE;1.7;1.19;gurobi
24;3;170.425302329404;170.425302329404;1800;FALSE;1.8;1.22;gurobi
24;3;143.886028118615;143.886028118615;1800;FALSE;1.49;5.6;gurobi
27;3;247.525570038837;247.525570038837;1800;FALSE;1.69;4.58;gurobi
27;3;188.325901807805;188.325901807805;1800;FALSE;1.72;3.69;gurobi
27;3;255.94304002174;255.94304002174;1800;FALSE;1.91;1.65;gurobi
27;3;184.452508809357;184.452508809357;1800;FALSE;1.68;6.07;gurobi
27;3;284.511270847539;284.511270847539;1800;FALSE;2.1;1.32;gurobi
30;3;377.908932718149;377.908932718149;1800;FALSE;1.92;2.58;gurobi
30;3;333.531330074895;333.531330074895;1800;FALSE;1.8;6.8;gurobi
30;3;248.325901807805;248.325901807805;1800;FALSE;2.02;8.12;gurobi
30;3;266.165417699582;266.165417699582;1800;FALSE;1.97;13.3;gurobi
30;3;388.305433544445;388.305433544444;1800;FALSE;2.07;4.5;gurobi
33;3;301.053823869162;301.053823869162;1800;FALSE;2.24;4.88;gurobi
33;3;297.539105243401;297.539105243401;1800;FALSE;1.89;49.55;gurobi
33;3;289.923881554251;289.923881554251;1800;FALSE;2.02;11.1;gurobi
33;3;389.500346470236;389.500346470236;1800;FALSE;2.04;49.61;gurobi
33;3;411.836895233725;411.836895233725;1800;FALSE;2.08;16.98;gurobi
36;3;316.107647738325;316.107647738325;1800;FALSE;1.79;703.75;gurobi
36;3;552.135295894341;552.135295894341;1800;FALSE;1.98;158.64;gurobi
36;3;492.545511548198;492.545511548198;1800;FALSE;1.97;82.74;gurobi
36;3;429.056349172684;429.056349172684;1800;FALSE;2.27;54.58;gurobi
36;3;572.490170076547;572.490170076547;1800;FALSE;2.05;29.49;gurobi
39;3;580.723365163687;580.723365163687;1800;FALSE;2.25;636.65;gurobi
39;3;361.582723968227;361.582723968227;1800;FALSE;2.06;614.08;gurobi
39;3;422.066017177982;422.066017177982;1800;FALSE;1.99;770.4;gurobi
39;3;610.982583713842;610.982583713842;1800;FALSE;2.45;123.02;gurobi
39;3;676.606449624045;676.606449624045;1800;FALSE;2.12;175.07;gurobi
42;3;NA;NA;1800;TRUE;2.2;1800.09;gurobi
20;4;92.585712797929;92.585712797929;1800;FALSE;1.7;0.23;gurobi
20;4;57.1126983722081;57.1126983722081;1800;FALSE;1.73;0.86;gurobi
20;4;94.5988160359998;94.5988160359998;1800;FALSE;1.63;0.37;gurobi
20;4;106.442544935229;106.442544935229;1800;FALSE;1.76;0.33;gurobi
20;4;72.3847763108502;72.3847763108502;1800;FALSE;1.77;0.69;gurobi
24;4;136.494823788134;136.494823788134;1800;FALSE;1.91;0.84;gurobi
24;4;128.106270352578;128.106270352578;1800;FALSE;1.83;0.84;gurobi
24;4;100.870057685089;100.870057685089;1800;FALSE;1.82;1.12;gurobi
24;4;138.74227250205;138.74227250205;1800;FALSE;1.76;1.07;gurobi
24;4;142.426333231495;142.426333231495;1800;FALSE;1.7;1.62;gurobi
28;4;171.773771557754;171.773771557754;1800;FALSE;1.98;3.71;gurobi
28;4;144.926112325821;144.926112325821;1800;FALSE;1.82;7.93;gurobi
28;4;115.053823869162;115.053823869162;1800;FALSE;1.9;25.54;gurobi
28;4;203.417158989249;203.417158989249;1800;FALSE;1.89;3.03;gurobi
28;4;158.041630560343;158.041630560343;1800;FALSE;1.76;3.83;gurobi
32;4;318.642410358174;318.648254540192;1800;FALSE;1.95;19.12;gurobi
32;4;283.066385349632;283.066385349632;1800;FALSE;2.1;4.43;gurobi
32;4;195.982756057297;195.982756057297;1800;FALSE;1.99;26.97;gurobi
32;4;197.174591941828;197.174591941828;1800;FALSE;1.86;204.38;gurobi
32;4;182.468037431535;182.468037431535;1800;FALSE;2.28;33.38;gurobi
36;4;238.267027304759;238.267027304759;1800;FALSE;2.12;289.61;gurobi
36;4;409.103907966623;409.103907966623;1800;FALSE;2.09;97.17;gurobi
36;4;372.818178577584;372.818178577584;1800;FALSE;2.4;23.97;gurobi
36;4;325.388847967508;325.702041015447;1800;FALSE;2.54;6.72;gurobi
36;4;251.539105243401;251.539105243401;1800;FALSE;2.26;233.46;gurobi
40;4;318.852813742386;318.852813742386;1800;FALSE;2.35;335.12;gurobi
40;4;238.592929112563;238.592929112563;1800;FALSE;2.42;904.14;gurobi
40;4;327.539105243401;328.124891681028;1800;FALSE;2.16;655.49;gurobi
40;4;314.024386617639;314.024386617639;1800;FALSE;2.26;698.51;gurobi
40;4;394.364218742782;394.364218742782;1800;FALSE;2.46;301.74;gurobi
44;4;NA;NA;1800;TRUE;2.53;1800.12;gurobi
20;5;63.2276275159862;63.2276275159862;1800;FALSE;1.73;0.11;gurobi
20;5;70.5478902605717;70.5478902605717;1800;FALSE;1.69;0.3;gurobi
20;5;51.4954128788771;51.4954128788771;1800;FALSE;1.74;0.21;gurobi
20;5;60.7375381149511;60.7375381149511;1800;FALSE;1.71;0.22;gurobi
20;5;43.4558441227157;43.4558441227157;1800;FALSE;1.75;0.47;gurobi
25;5;148.515168269614;148.515168269614;1800;FALSE;1.86;1;gurobi
25;5;92.0164858845711;92.0164858845711;1800;FALSE;1.73;1.65;gurobi
25;5;111.100946874736;111.100946874736;1800;FALSE;1.66;0.72;gurobi
25;5;83.698484809835;83.698484809835;1800;FALSE;2.08;0.5;gurobi
25;5;115.48194606088;115.48194606088;1800;FALSE;2.06;1.03;gurobi
30;5;177.178010739738;177.178010739738;1800;FALSE;1.98;8.87;gurobi
30;5;142.38477631085;142.38477631085;1800;FALSE;1.99;13.66;gurobi
30;5;197.899694140872;197.899694140872;1800;FALSE;2.01;1.96;gurobi
30;5;135.355339059327;135.355339059327;1800;FALSE;1.95;35.06;gurobi
30;5;154.51722224129;154.51722224129;1800;FALSE;2.08;4.21;gurobi
35;5;174.710678118655;174.710678118655;1800;FALSE;2.31;25.89;gurobi
35;5;219.30016804129;219.30016804129;1800;FALSE;2.24;46.3;gurobi
35;5;142.02438661764;142.02438661764;1800;FALSE;2.23;41.29;gurobi
35;5;258.914633672307;258.914633672307;1800;FALSE;2.26;3.54;gurobi
35;5;175.39696961967;175.39696961967;1800;FALSE;2.17;58.22;gurobi
40;5;370.311259387696;370.569039471918;1800;FALSE;2.31;1164.6;gurobi
40;5;376.797897755663;377.086661444545;1800;FALSE;2.22;1097.28;gurobi
40;5;396.533608746633;396.591762679835;1800;FALSE;2.41;55.44;gurobi
40;5;292.829310747441;292.965607442285;1800;FALSE;2.41;422.05;gurobi
40;5;411.238146773538;411.238146773538;1800;FALSE;2.48;258.31;gurobi
45;5;NA;NA;1800;TRUE;2.54;1800.18;gurobi
20;10;22.1111520190722;22.1111520190722;1800;FALSE;1.97;0.06;gurobi
20;10;19.0053234778419;19.0053234778419;1800;FALSE;1.79;0.06;gurobi
20;10;23.0524773816946;23.0524773816946;1800;FALSE;1.84;0.05;gurobi
20;10;24.2126879845511;24.2126879845511;1800;FALSE;1.91;0.04;gurobi
20;10;21.5253655814453;21.5253655814453;1800;FALSE;1.85;0.05;gurobi
30;10;41.7989898732233;41.7989898732233;1800;FALSE;2.2;0.27;gurobi
30;10;55.3890688866015;55.3890688866015;1800;FALSE;2.22;0.19;gurobi
30;10;67.6065648979493;67.6065648979493;1800;FALSE;2.02;1.68;gurobi
30;10;55.3137084989848;55.3137084989848;1800;FALSE;2.43;0.27;gurobi
30;10;62.8080904757712;62.8080904757712;1800;FALSE;2.5;0.16;gurobi
40;10;100.526911934581;100.526911934581;1800;FALSE;2.9;2.2;gurobi
40;10;104.116990947959;104.116990947959;1800;FALSE;2.75;18.35;gurobi
40;10;113.071067811865;113.071067811865;1800;FALSE;2.65;2.13;gurobi
40;10;174.435641532216;174.435641532216;1800;FALSE;2.87;3.14;gurobi
40;10;NA;NA;1800;TRUE;2.68;1800.75;gurobi
